;N_Hom;Hom_Rate;N_M_Hom;M_Hom_Rate;N_F_Hom;F_Hom_Rate;N_IPH;IPH_Rate;N_Dom;Dom_Rate;N Criminal Milieu;Crim_Rate;N Robbery;Rob_Rate;N Disputes;Disp_Rate;N Other;Oth_Rate;Bevolking
2000;232;1,46243526990441;149;0,939236444895502;77;0,485377223201031;34;0,214322410244611;24;0,15128640723149;27;0,170197208135427;16;0,100857604820994;31;0,195411609340675;36;0,226929610847235;15863950
2001;255;1,59503849203184;170;1,0633589946879;80;0,500404232794304;49;0,306497592586511;25;0,15637632274822;29;0,181396534387935;17;0,10633589946879;33;0,20641674602765;39;0,243947063487223;15987075
2002;212;1,31633808405129;144;0,894116434449934;62;0,384966798165944;42;0,260783960047897;23;0,142810263835753;26;0,16143768955346;14;0,0869279866826324;34;0,211110824800679;22;0,136601121929851;16105285
2003;245;1,51303943561282;153;0,944877688362294;91;0,561986076084763;48;0,296432215956798;31;0,191445806138765;33;0,203797148470299;25;0,154391779144166;5;0,0308783558288331;45;0,277905202459498;16192572
2004;222;1,36547892143403;163;1,00258137024211;56;0,344445133334711;41;0,252183044048628;32;0,196825790476978;34;0,209127402381789;21;0,129166925000517;15;0,0922620892860833;43;0,264484655953439;16258032
2005;207;1,26950826364019;134;0,821807281776742;70;0,42930231137591;31;0,190119595037903;48;0,294378727800624;27;0,165588034387851;14;0,085860462275182;21;0,128790693412773;32;0,196252485200416;16305526
2006;153;0,936684418775074;101;0,618334158799232;52;0,318350259975842;23;0,140808768835469;27;0,165297250372072;18;0,110198166914715;13;0,0795875649939605;20;0,122442407683016;29;0,177541491140373;16334210
2007;184;1,12483243664626;125;0,76415247054773;55;0,336227087041001;34;0,207849471988983;31;0,189509812695837;12;0,0733586371725821;12;0,0733586371725821;7;0,0427925383506729;34;0,207849471988983;16357992
2008;168;1,02405311812288;110;0,670510970199506;54;0,329159930825212;24;0,146293302588983;24;0,146293302588983;12;0,0731466512944915;8;0,0487644341963277;22;0,134102194039901;39;0,237726616707097;16405399
2009;184;1,11611292806343;133;0,806755540393674;50;0,303291556538975;28;0,169843271661826;23;0,139514116007929;26;0,157711609400267;10;0,060658311307795;35;0,212304089577283;33;0,200172427315724;16485787
2010;180;1,08597357138518;113;0,681750075369582;65;0,392157123000202;42;0,253393833323208;33;0,199095154753949;18;0,108597357138518;19;0,114630543646213;32;0,193061968246253;14;0,0844646111077359;16574989
2011;174;1,04468119481989;121;0,72647370444372;50;0,300195745637901;38;0,228148766684804;24;0,144093957906192;32;0,192125277208256;8;0,0480313193020641;28;0,168109617557224;22;0,132086128080676;16655799
2012;157;0,938414431068619;98;0,58576187417022;58;0,346675394917069;38;0,227132155290494;21;0,125520401607904;24;0,143451887551891;15;0,0896574297199317;26;0,155406211514548;15;0,0896574297199317;16730348
2013;152;0,905863229551404;91;0,542326012428801;61;0,363537217122603;30;0,178788795306198;25;0,148990662755165;37;0,220506180877644;12;0,0715155181224793;18;0,107273277183719;18;0,107273277183719;16779575
2014;139;0,825941012718957;105;0,623912275794895;31;0,18420267190135;22;0,130724476833216;21;0,124782455158979;32;0,190144693575587;8;0,0475361733938968;30;0,178260650227113;11;0,0653622384166081;16829289
2015;117;0,692277953029947;75;0,44376791860894;41;0,242593128839554;29;0,171590261862124;18;0,106504300466146;31;0,183424073025029;2;0,0118338111629051;20;0,118338111629051;13;0,076919772558883;16900726
2016;105;0,618406607645155;71;0,418160658502914;34;0,200245949142241;21;0,123681321529031;11;0,0647854541342543;19;0,111902148050076;7;0,0412271071763437;17;0,10012297457112;6;0,035337520436866;16979120
2017;160;0,936685504387874;109;0,638116999864239;49;0,286859935718786;25;0,146357110060605;14;0,081959981633939;40;0,234171376096968;9;0,0526885596218179;30;0,175628532072726;21;0,122939972450908;17081507
2018;105;0,611137225101746;68;0,39578410768494;37;0,215353117416806;35;0,203712408367249;9;0,0523831907230068;24;0,139688508594685;0;0;24;0,139688508594685;6;0,0349221271486712;17181084
2019;117;0,676998590974984;76;0,439759768496571;40;0,231452509735037;25;0,144657818584398;14;0,081008378407263;10;0,0578631274337593;3;0,0173589382301278;28;0,162016756814526;13;0,0752220656638871;17282163
2020;122;0,70084391373071;70;0,402123557058604;52;0,298720356672106;36;0,206806400772996;18;0,103403200386498;19;0,109147822630193;4;0,0229784889747774;17;0,0976585781428038;13;0,0746800891680265;17407585